Epoch,He,Xavier,Normal,Uniform
0,0.228956,0.229596,0.229826,0.229937
1,0.226855,0.227038,0.228855,0.225984
2,0.224276,0.22404,0.227776,0.221137
3,0.220792,0.220005,0.226443,0.214545
4,0.215811,0.214265,0.224683,0.205119
5,0.208613,0.205992,0.222265,0.191684
6,0.198369,0.194399,0.218888,0.173634
7,0.184459,0.179331,0.214124,0.152396
8,0.167034,0.161749,0.207406,0.131378
9,0.147613,0.14351,0.198201,0.113351
10,0.128717,0.126599,0.186165,0.0990335
11,0.11229,0.112166,0.171111,0.0879331
12,0.0990035,0.100291,0.153439,0.0793245
13,0.088586,0.0905751,0.134856,0.0725684
14,0.0804363,0.0826169,0.117761,0.0671578
15,0.0739574,0.0760731,0.103683,0.0627277
16,0.0686903,0.0706554,0.0927041,0.059031
17,0.0643075,0.0661254,0.0841919,0.0558862
18,0.0605863,0.0622928,0.077447,0.0531615
19,0.0573739,0.0590007,0.0719625,0.0507653
20,0.0545637,0.0561395,0.0673957,0.0486318
21,0.0520853,0.0536213,0.0635171,0.0467154
22,0.0498791,0.0513824,0.0601723,0.0449819
23,0.0479068,0.049373,0.0572552,0.0434079
24,0.046133,0.0475515,0.0546891,0.0419705
25,0.0445258,0.0458884,0.052412,0.0406511
26,0.043064,0.0443636,0.0503695,0.0394337
27,0.0417297,0.0429533,0.0485245,0.0383066
28,0.0405052,0.0416454,0.0468456,0.0372612
29,0.0393761,0.0404304,0.0453076,0.0362875
